"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","PMID","term name","year"
"873","20","GO Process","","regulation of immune response","1.2E-4","CD4|HMOX1|APOA1|CFP|HPX|FCN3|FCN2|BAX|FGB|FOS|SOCS3|COLEC10|HLA-DRB1|ADAR|ECM1|CPN1|PROS1|COLEC11|C1R|FPR1","17100","4460|4352|4411|4341|4346|4302|4301|4463|4407|4415|4345|4436|4378|4388|4382|4443|4304|4433|4439|4339","","GO.0050776","0"
"953","21","GO Process","","cellular response to cytokine stimulus","1.2E-4","CD4|DCN|TNFRSF1A|HMOX1|CRHBP|LAPTM5|FGB|FOS|ZYX|SOCS3|IFI6|HLA-DRB1|ADAR|ASS1|SQSTM1|CXCL2|AKT1|ZFP36|FPR1|HAMP|GHR","17100","4460|4418|4420|4352|4309|4454|4407|4415|4462|4345|4442|4378|4388|4457|4329|4391|4312|4310|4339|4376|4394","","GO.0071345","0"
"5281","59","GO Process","","organonitrogen compound metabolic process","1.2E-4","DCN|CETP|HMOX1|F9|EHHADH|APOA1|CAT|RNF11|CFP|DMGDH|LYVE1|SDS|BTBD1|KLKB1|HPX|FCN3|CERS2|FTCD|FCN2|BAX|CLEC1B|ANPEP|FGB|CALR|LPA|SOCS3|COLEC10|UBA1|GANAB|CYP1A2|ADAMTSL2|CNDP1|MRPL24|GUK1|MRPL9|APH1A|PHGDH|DUSP5|CPN1|PGM1|AKR1A1|ASS1|STK40|RPRD1B|XDH|IGFBP3|SQSTM1|DBH|COLEC11|MBD3|ITIH3|IGFALS|AADAT|C1R|AKT1|LDLR|GDF2|ZFP36|GHR","17100","4418|4336|4352|4423|4425|4411|4426|4381|4341|4300|4456|4314|4349|4465|4346|4302|4432|4392|4301|4463|4402|4311|4407|4375|4326|4345|4436|4373|4444|4371|4397|4307|4363|4396|4401|4343|4400|4409|4443|4406|4410|4457|4430|4354|4450|4315|4329|4389|4433|4451|4435|4324|4453|4439|4312|4449|4362|4310|4394","","GO.1901564","0"
"3882","48","GO Process","","regulation of response to stimulus","1.3E-4","CD4|DCN|TNFRSF1A|HMOX1|OXT|CYP26A1|APOA1|CAT|RAMP3|CFP|KLKB1|HPX|FCN3|CERS2|CRHBP|FCN2|BAX|FGB|FOS|CALR|ZYX|SOCS3|COLEC10|IFI6|ADAMTSL2|HLA-DRB1|ADAR|ECM1|DUSP5|CPN1|STK40|YTHDF2|SRPX|XDH|IGFBP3|SQSTM1|DBH|PROS1|DNAJC7|COLEC11|CXCL2|C1R|AKT1|LDLR|GDF2|FPR1|HAMP|GHR","17100","4460|4418|4420|4352|4387|4366|4411|4426|4437|4341|4465|4346|4302|4432|4309|4301|4463|4407|4415|4375|4462|4345|4436|4442|4397|4378|4388|4382|4409|4443|4430|4452|4379|4450|4315|4329|4389|4304|4424|4433|4391|4439|4312|4449|4362|4339|4376|4394","","GO.0048583","0"
"157","9","GO Process","","cellular response to xenobiotic stimulus","1.3E-4","CYP26A1|CRHBP|CES2|CYP1A2|FMO3|PHGDH|CYP2C8|ASS1|GHR","17100","4366|4309|4330|4371|4455|4400|4368|4457|4394","","GO.0071466","0"
"1427","26","GO Process","","response to oxygen-containing compound","1.3E-4","CD4|DCN|TNFRSF1A|HMOX1|OXT|CYP26A1|CAT|RAMP3|HBA2|CRHBP|AVPR1A|FOS|CALR|HBB|CYP1A2|ASS1|PRKAR1A|DBH|MBD3|CXCL2|AKT1|LDLR|TXNIP|ZFP36|HAMP|GHR","17100","4460|4418|4420|4352|4387|4366|4426|4437|4413|4309|4414|4415|4375|4386|4371|4457|4322|4389|4451|4391|4312|4449|4323|4310|4376|4394","","GO.1901700","0"
"10","4","GO Process","","complement activation, lectin pathway","1.4E-4","FCN3|FCN2|COLEC10|COLEC11","17100","4302|4301|4436|4433","","GO.0001867","0"
"209","10","GO Process","","receptor-mediated endocytosis","1.4E-4","APOA1|RAMP3|HBA2|HPX|CALR|HBB|CAP1|COLEC11|LDLR|GHR","17100","4411|4437|4413|4346|4375|4386|4408|4433|4449|4394","","GO.0006898","0"
"49","6","GO Process","","complement activation","1.4E-4","CFP|FCN3|FCN2|COLEC10|COLEC11|C1R","17100","4341|4302|4301|4436|4433|4439","","GO.0006956","0"
"262","11","GO Process","","response to xenobiotic stimulus","1.4E-4","OXT|CYP26A1|CRHBP|CES2|CYP1A2|FMO3|PHGDH|CYP2C8|ASS1|DBH|GHR","17100","4387|4366|4309|4330|4371|4455|4400|4368|4457|4389|4394","","GO.0009410","0"
"1857","30","GO Process","","response to external stimulus","1.4E-4","CD4|DCN|TNFRSF1A|HMOX1|OXT|CYP26A1|APOA1|CAT|CFP|ITGA9|FCN3|FCN2|AVPR1A|FGB|FOS|COLEC10|CYP1A2|HLA-DRB1|ADAR|ASS1|PLAC8|COLEC11|MBD3|CXCL2|AKT1|LDLR|TXNIP|ZFP36|FPR1|HAMP","17100","4460|4418|4420|4352|4387|4366|4411|4426|4341|4431|4302|4301|4414|4407|4415|4436|4371|4378|4388|4457|4342|4433|4451|4391|4312|4449|4323|4310|4339|4376","","GO.0009605","0"
"4153","50","GO Process","","response to chemical","1.4E-4","CD4|DCN|TNFRSF1A|HMOX1|OXT|CYP26A1|APOA1|CAT|RAMP3|HBA2|ITGA9|CRHBP|PLIN2|BAX|LAPTM5|AVPR1A|FGB|FOS|MT1E|TLN1|CES2|CALR|ZYX|SOCS3|COLEC10|HBB|CYP1A2|IFI6|HLA-DRB1|FMO3|ADAR|PHGDH|CPN1|CYP2C8|ASS1|SQSTM1|PRKAR1A|DBH|SEC31A|MBD3|CXCL2|AKT1|LDLR|TXNIP|GDF2|ZFP36|FPR1|HAMP|SRRT|GHR","17100","4460|4418|4420|4352|4387|4366|4411|4426|4437|4413|4431|4309|4428|4463|4454|4414|4407|4415|4333|4328|4330|4375|4462|4345|4436|4386|4371|4442|4378|4455|4388|4400|4443|4368|4457|4329|4322|4389|4358|4451|4391|4312|4449|4323|4362|4310|4339|4376|4440|4394","","GO.0042221","0"
"1646","28","GO Process","","cellular catabolic process","1.4E-4","DCN|HMOX1|CYP26A1|EHHADH|APOA1|CAT|RNF11|HBA2|DMGDH|LYVE1|SDS|BTBD1|FTCD|ANPEP|HBB|UBA1|CYP1A2|CPN1|PGM1|CYP2C8|AKR1A1|SRPX|XDH|SQSTM1|DBH|AADAT|ZFP36|HAO2","17100","4418|4352|4366|4425|4411|4426|4381|4413|4300|4456|4314|4349|4392|4311|4386|4373|4371|4443|4406|4368|4410|4379|4450|4329|4389|4453|4310|4357","","GO.0044248","0"
"828","18","GO Component","","secretory granule","1.6E-4","OXT|APOA1|CAT|CFP|CRHBP|ANPEP|FGB|CALR|HBB|ECM1|CPN1|PGM1|CAP1|DBH|PROS1|PLAC8|ITIH3|FPR1","17100","4387|4411|4426|4341|4309|4311|4407|4375|4386|4382|4443|4406|4408|4389|4304|4342|4435|4339","","GO.0030141","0"
"923","20","GO Process","","oxidation-reduction process","1.6E-4","HMOX1|CYP26A1|EHHADH|APOA1|CAT|DMGDH|LDHD|CYP1A2|FMO3|PHGDH|PGM1|CYP2C8|CYP4A22|AKR1A1|STK40|XDH|DBH|ADH1C|AKT1|HAO2","17100","4352|4366|4425|4411|4426|4300|4350|4371|4455|4400|4406|4368|4384|4410|4430|4450|4389|4438|4312|4357","","GO.0055114","0"
"124","8","GO Process","","antibiotic metabolic process","1.7E-4","CAT|HBA2|FTCD|HBB|CYP1A2|GNE|ADH1C|GHR","17100","4426|4413|4392|4386|4371|4334|4438|4394","","GO.0016999","0"
"9135","84","GO Process","","organic substance metabolic process","1.7E-4","DCN|TNFRSF1A|CETP|HMOX1|F9|CYP26A1|EHHADH|CEBPZ|APOA1|CAT|RAMP3|RNF11|CFP|DMGDH|LYVE1|SDS|LRPPRC|BTBD1|KLKB1|HPX|FCN3|CERS2|FTCD|FCN2|BAX|CLEC1B|ANPEP|UBTF|FGB|FOS|CES2|CALR|LPA|SOCS3|COLEC10|UBA1|GANAB|CYP1A2|ADAMTSL2|CNDP1|ETS2|MRPL24|GUK1|ADAR|MRPL9|APH1A|PHGDH|BCAS2|DUSP5|CPN1|PGM1|CYP2C8|CYP4A22|AKR1A1|ASS1|STK40|RPRD1B|TDP2|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|DBH|GNE|APOF|DNTTIP2|COLEC11|MBD3|ITIH3|IGFALS|AADAT|ADH1C|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|POLRMT|ZFP36|SRRT|GHR|HAO2","17100","4418|4420|4336|4352|4423|4366|4425|4464|4411|4426|4437|4381|4341|4300|4456|4314|4458|4349|4465|4346|4302|4432|4392|4301|4463|4402|4311|4398|4407|4415|4330|4375|4326|4345|4436|4373|4444|4371|4397|4307|4308|4363|4396|4388|4401|4343|4400|4405|4409|4443|4406|4368|4384|4410|4457|4430|4354|4370|4450|4315|4335|4329|4305|4389|4334|4351|4316|4433|4451|4435|4324|4453|4438|4447|4439|4312|4449|4323|4362|4317|4310|4440|4394|4357","","GO.0071704","0"
"127","8","GO Process","","sterol metabolic process","1.9E-4","CETP|CYP26A1|APOA1|CAT|IDI1|HDLBP|APOF|LDLR","17100","4336|4366|4411|4426|4335|4305|4351|4449","","GO.0016125","0"
"477","14","GO Process","","monocarboxylic acid metabolic process","2.1E-4","DCN|TNFRSF1A|CYP26A1|EHHADH|SDS|FTCD|CES2|CYP1A2|PHGDH|PGM1|CYP2C8|AKR1A1|GHR|HAO2","17100","4418|4420|4366|4425|4314|4392|4330|4371|4400|4406|4368|4410|4394|4357","","GO.0032787","0"
"56","6","GO Process","","response to cadmium ion","2.1E-4","HMOX1|CAT|FOS|MT1E|CYP1A2|AKT1","17100","4352|4426|4415|4333|4371|4312","","GO.0046686","0"
"869","19","GO Process","","response to biotic stimulus","2.2E-4","CD4|DCN|TNFRSF1A|CFP|FCN3|FCN2|FGB|FOS|CYP1A2|HLA-DRB1|ADAR|ASS1|PLAC8|COLEC11|CXCL2|AKT1|TXNIP|ZFP36|HAMP","17100","4460|4418|4420|4341|4302|4301|4407|4415|4371|4378|4388|4457|4342|4433|4391|4312|4323|4310|4376","","GO.0009607","0"
"555","15","GO Process","","response to bacterium","2.2E-4","CD4|DCN|TNFRSF1A|CFP|FCN2|FGB|FOS|CYP1A2|HLA-DRB1|ASS1|PLAC8|CXCL2|AKT1|ZFP36|HAMP","17100","4460|4418|4420|4341|4301|4407|4415|4371|4378|4457|4342|4391|4312|4310|4376","","GO.0009617","0"
"31","5","GO Process","","cellular response to cadmium ion","2.2E-4","HMOX1|FOS|MT1E|CYP1A2|AKT1","17100","4352|4415|4333|4371|4312","","GO.0071276","0"
"486","14","GO Process","","response to extracellular stimulus","2.3E-4","CD4|HMOX1|OXT|CYP26A1|APOA1|CAT|AVPR1A|FOS|ASS1|MBD3|AKT1|LDLR|ZFP36|HAMP","17100","4460|4352|4387|4366|4411|4426|4414|4415|4457|4451|4312|4449|4310|4376","","GO.0009991","0"
"1250","24","KEGG Pathways","","Metabolic pathways","2.4E-4","HMOX1|CYP26A1|EHHADH|DMGDH|SDS|CERS2|FTCD|ANPEP|GANAB|CYP1A2|CNDP1|GUK1|PHGDH|PGM1|CYP2C8|AKR1A1|ASS1|XDH|IDI1|DBH|GNE|AADAT|ADH1C|HAO2","17100","4352|4366|4425|4300|4314|4432|4392|4311|4444|4371|4307|4396|4400|4406|4368|4410|4457|4450|4335|4389|4334|4453|4438|4357","","hsa01100","0"
"2370","34","GO Process","","immune system process","2.4E-4","CD4|TNFRSF1A|HMOX1|CAT|CFP|ITGA9|FCN3|FCN2|BAX|CLEC1B|ANPEP|FGB|CALR|ZYX|COLEC10|HBB|IFI6|HLA-DRB1|ADAR|PGM1|ASS1|CAP1|YTHDF2|SQSTM1|DBH|PROS1|SEC31A|PLAC8|COLEC11|CXCL2|C1R|AKT1|FPR1|HAMP","17100","4460|4420|4352|4426|4341|4431|4302|4301|4463|4402|4311|4407|4375|4462|4436|4386|4442|4378|4388|4406|4457|4408|4452|4329|4389|4304|4358|4342|4433|4391|4439|4312|4339|4376","","GO.0002376","0"
"2486","35","GO Process","","regulation of cellular protein metabolic process","2.4E-4","CD4|DCN|TNFRSF1A|APOA1|RAMP3|LRPPRC|KLKB1|HPX|BAX|FGB|CALR|LPA|SOCS3|IFI6|CNDP1|HLA-DRB1|ADAR|ECM1|DUSP5|STK40|YTHDF2|XDH|IGFBP3|SQSTM1|PRKAR1A|PROS1|PLXNB2|ITIH3|AKT1|LDLR|GDF2|ZFP36|FPR1|HAMP|GHR","17100","4460|4418|4420|4411|4437|4458|4465|4346|4463|4407|4375|4326|4345|4442|4307|4378|4388|4382|4409|4430|4452|4450|4315|4329|4322|4304|4372|4435|4312|4449|4362|4310|4339|4376|4394","","GO.0032268","0"
"180","9","GO Function","","serine-type endopeptidase activity","3.0E-4","F9|CFP|KLKB1|FCN3|FCN2|LPA|COLEC10|COLEC11|C1R","17100","4423|4341|4465|4302|4301|4326|4436|4433|4439","","GO.0004252","0"
"11878","100","GO Function","","binding","3.0E-4","CD4|DCN|TNFRSF1A|CETP|HMOX1|OXT|F9|CYP26A1|EHHADH|CEBPZ|APOA1|CAT|RNF11|HBA2|LYVE1|SDS|LRPPRC|BTBD1|ITGA9|HPX|FCN3|CERS2|CRHBP|FTCD|FCN2|BAX|CLEC1B|AVPR1A|LDHD|ANPEP|UBTF|FGB|FOS|MT1E|RND1|TLN1|CALR|LPA|ZYX|SOCS3|COLEC10|HBB|UBA1|GANAB|CYP1A2|ADAMTSL2|CNDP1|HLA-DRB1|ETS2|GUK1|CSRP1|FMO3|ADAR|ECM1|PHGDH|CPN1|PGM1|CYP2C8|CYP4A22|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|TDP2|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|PRKAR1A|DBH|PROS1|SEC31A|GNE|APOF|MCFD2|PLAC8|DNAJC7|COLEC11|MBD3|IGFALS|AADAT|ADH1C|CXCL2|PUF60|C1R|AKT1|LDLR|TXNIP|GDF2|POLRMT|ZFP36|FPR1|HAMP|TRAPPC3|SRRT|GHR|HAO2","17100","4460|4418|4420|4336|4352|4387|4423|4366|4425|4464|4411|4426|4381|4413|4456|4314|4458|4349|4431|4346|4302|4432|4309|4392|4301|4463|4402|4414|4350|4311|4398|4407|4415|4333|4393|4328|4375|4326|4462|4345|4436|4386|4373|4444|4371|4397|4307|4378|4308|4396|4395|4455|4388|4382|4400|4443|4406|4368|4384|4457|4408|4430|4354|4452|4390|4370|4450|4315|4335|4329|4305|4322|4389|4304|4358|4334|4351|4380|4342|4424|4433|4451|4324|4453|4438|4391|4447|4439|4312|4449|4323|4362|4317|4310|4339|4376|4359|4440|4394|4357","","GO.0005488","0"
"207","10","GO Function","","serine-type peptidase activity","3.0E-4","F9|CFP|KLKB1|FCN3|FCN2|LPA|COLEC10|CPN1|COLEC11|C1R","17100","4423|4341|4465|4302|4301|4326|4436|4443|4433|4439","","GO.0008236","0"
"135","8","GO Function","","oxidoreductase activity, acting on CH-OH group of donors","3.0E-4","EHHADH|LDHD|PHGDH|CYP4A22|AKR1A1|XDH|ADH1C|HAO2","17100","4425|4350|4400|4384|4410|4450|4438|4357","","GO.0016614","0"
"128","8","GO Function","","heme binding","3.0E-4","HMOX1|CYP26A1|CAT|HBA2|HBB|CYP1A2|CYP2C8|CYP4A22","17100","4352|4366|4426|4413|4386|4371|4368|4384","","GO.0020037","0"
"248","10","GO Process","","steroid metabolic process","3.6E-4","CETP|CYP26A1|APOA1|CAT|CYP1A2|CYP2C8|IDI1|HDLBP|APOF|LDLR","17100","4336|4366|4411|4426|4371|4368|4335|4305|4351|4449","","GO.0008202","0"
"80","6","UniProt Keywords","","Monooxygenase","3.9E-4","CYP26A1|CYP1A2|FMO3|CYP2C8|CYP4A22|DBH","17100","4366|4371|4455|4368|4384|4389","","KW-0503","0"
"2318","32","GO Component","","vesicle","4.1E-4","CD4|CETP|OXT|APOA1|CAT|RNF11|CFP|HBA2|HPX|CRHBP|AVPR1A|ANPEP|FGB|CALR|ZYX|HBB|GANAB|HLA-DRB1|ECM1|CPN1|PGM1|CAP1|SQSTM1|DBH|PROS1|SEC31A|MCFD2|PLAC8|ITIH3|AKT1|LDLR|FPR1","17100","4460|4336|4387|4411|4426|4381|4341|4413|4346|4309|4414|4311|4407|4375|4462|4386|4444|4378|4382|4443|4406|4408|4329|4389|4304|4358|4380|4342|4435|4312|4449|4339","","GO.0031982","0"
"11244","94","GO Component","","membrane-bounded organelle","4.1E-4","CD4|DCN|TNFRSF1A|CETP|HMOX1|OXT|F9|CYP26A1|EHHADH|CEBPZ|APOA1|CAT|RAMP3|RNF11|CFP|HBA2|DMGDH|SDS|LRPPRC|HPX|CERS2|CRHBP|PLIN2|FTCD|BAX|LAPTM5|AVPR1A|LDHD|ANPEP|UBTF|FGB|FOS|MT1E|RND1|CES2|CALR|ZYX|SLC25A20|COLEC10|HBB|UBA1|GANAB|CYP1A2|IFI6|HLA-DRB1|ETS2|MRPL24|CSRP1|FMO3|ADAR|MRPL9|ECM1|APH1A|BCAS2|DUSP5|CPN1|PGM1|CYP2C8|CYP4A22|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|TDP2|SRPX|XDH|IGFBP3|IDI1|SQSTM1|HDLBP|DBH|PROS1|SEC31A|MCFD2|PLAC8|DNAJC7|DNTTIP2|MBD3|ITIH3|IGFALS|AADAT|ADH1C|PUF60|AKT1|LDLR|TXNIP|POLRMT|ZFP36|FPR1|TRAPPC3|SRRT|HAO2","17100","4460|4418|4420|4336|4352|4387|4423|4366|4425|4464|4411|4426|4437|4381|4341|4413|4300|4314|4458|4346|4432|4309|4428|4392|4463|4454|4414|4350|4311|4398|4407|4415|4333|4393|4330|4375|4462|4448|4436|4386|4373|4444|4371|4442|4378|4308|4363|4395|4455|4388|4401|4382|4343|4405|4409|4443|4406|4368|4384|4457|4408|4430|4354|4452|4390|4370|4379|4450|4315|4335|4329|4305|4389|4304|4358|4380|4342|4424|4316|4451|4435|4324|4453|4438|4447|4312|4449|4323|4317|4310|4339|4359|4440|4357","","GO.0043227","0"
"1483","25","GO Process","","negative regulation of response to stimulus","4.2E-4","DCN|TNFRSF1A|HMOX1|CYP26A1|APOA1|RAMP3|KLKB1|CERS2|CRHBP|BAX|FGB|CALR|SOCS3|IFI6|ADAMTSL2|HLA-DRB1|ADAR|ECM1|DUSP5|YTHDF2|XDH|IGFBP3|PROS1|AKT1|LDLR","17100","4418|4420|4352|4366|4411|4437|4465|4432|4309|4463|4407|4375|4345|4442|4397|4378|4388|4382|4409|4452|4450|4315|4304|4312|4449","","GO.0048585","0"
"835","18","GO Process","","response to other organism","4.2E-4","CD4|DCN|TNFRSF1A|CFP|FCN3|FCN2|FGB|FOS|CYP1A2|HLA-DRB1|ADAR|ASS1|PLAC8|COLEC11|CXCL2|AKT1|ZFP36|HAMP","17100","4460|4418|4420|4341|4302|4301|4407|4415|4371|4378|4388|4457|4342|4433|4391|4312|4310|4376","","GO.0051707","0"
"2219","32","GO Process","","cellular response to organic substance","4.2E-4","CD4|DCN|TNFRSF1A|HMOX1|CAT|RAMP3|CRHBP|BAX|LAPTM5|AVPR1A|FGB|FOS|TLN1|CALR|ZYX|SOCS3|IFI6|HLA-DRB1|ADAR|ASS1|SQSTM1|PRKAR1A|SEC31A|CXCL2|AKT1|LDLR|GDF2|ZFP36|FPR1|HAMP|SRRT|GHR","17100","4460|4418|4420|4352|4426|4437|4309|4463|4454|4414|4407|4415|4328|4375|4462|4345|4442|4378|4388|4457|4329|4322|4358|4391|4312|4449|4362|4310|4339|4376|4440|4394","","GO.0071310","0"
"105","7","Reactome Pathways","","Phase I - Functionalization of compounds","4.4E-4","CYP26A1|CES2|CYP1A2|FMO3|CYP2C8|CYP4A22|ADH1C","17100","4366|4330|4371|4455|4368|4384|4438","","HSA-211945","0"
"40","5","Reactome Pathways","","Binding and Uptake of Ligands by Scavenger Receptors","4.7E-4","APOA1|HPX|CALR|HBB|COLEC11","17100","4411|4346|4375|4386|4433","","HSA-2173782","0"
"4","3","Reactome Pathways","","LDL remodeling","4.7E-4","CETP|LPA|APOF","17100","4336|4326|4351","","HSA-8964041","0"
"4","3","GO Process","","maternal aggressive behavior","4.9E-4","OXT|CRHBP|AVPR1A","17100","4387|4309|4414","","GO.0002125","0"
"108","7","GO Process","","xenobiotic metabolic process","4.9E-4","CYP26A1|CES2|CYP1A2|FMO3|PHGDH|CYP2C8|GHR","17100","4366|4330|4371|4455|4400|4368|4394","","GO.0006805","0"
"109","7","GO Process","","cholesterol metabolic process","4.9E-4","CETP|APOA1|CAT|IDI1|HDLBP|APOF|LDLR","17100","4336|4411|4426|4335|4305|4351|4449","","GO.0008203","0"
"854","18","GO Process","","response to hormone","4.9E-4","CD4|OXT|CAT|RAMP3|CRHBP|AVPR1A|FGB|FOS|CALR|CYP1A2|CPN1|ASS1|PRKAR1A|MBD3|AKT1|TXNIP|ZFP36|GHR","17100","4460|4387|4426|4437|4309|4414|4407|4415|4375|4371|4443|4457|4322|4451|4312|4323|4310|4394","","GO.0009725","0"
"70","6","GO Process","","regulation of plasma lipoprotein particle levels","4.9E-4","CETP|HMOX1|APOA1|LPA|HDLBP|LDLR","17100","4336|4352|4411|4326|4305|4449","","GO.0097006","0"
"1294","22","GO Component","","endoplasmic reticulum part","5.1E-4","CD4|HMOX1|F9|CYP26A1|APOA1|CFP|CERS2|FTCD|BAX|CES2|CALR|GANAB|CYP1A2|HLA-DRB1|FMO3|APH1A|CYP2C8|CYP4A22|IGFBP3|PROS1|SEC31A|MCFD2","17100","4460|4352|4423|4366|4411|4341|4432|4392|4463|4330|4375|4444|4371|4378|4455|4343|4368|4384|4315|4304|4358|4380","","GO.0044432","0"
"3559","43","GO Process","","regulation of biological quality","5.4E-4","CD4|DCN|CETP|HMOX1|OXT|F9|CYP26A1|APOA1|RAMP3|DMGDH|SDS|KLKB1|HPX|CRHBP|PLIN2|BAX|CLEC1B|AVPR1A|ANPEP|FGB|TLN1|CALR|HBB|IFI6|HLA-DRB1|ADAR|PHGDH|CPN1|ASS1|YTHDF2|XDH|SQSTM1|PRKAR1A|DBH|PROS1|PLXNB2|AKT1|LDLR|GDF2|ZFP36|FPR1|HAMP|GHR","17100","4460|4418|4336|4352|4387|4423|4366|4411|4437|4300|4314|4465|4346|4309|4428|4463|4402|4414|4311|4407|4328|4375|4386|4442|4378|4388|4400|4443|4457|4452|4450|4329|4322|4389|4304|4372|4312|4449|4362|4310|4339|4376|4394","","GO.0065008","0"
"468","13","GO Process","","response to toxic substance","5.8E-4","HMOX1|OXT|CAT|HBA2|CRHBP|BAX|FOS|HBB|ASS1|DBH|TXNIP|HAMP|GHR","17100","4352|4387|4426|4413|4309|4463|4415|4386|4457|4389|4323|4376|4394","","GO.0009636","0"
"547","14","GO Process","","response to wounding","6.2E-4","DCN|HMOX1|F9|APOA1|LYVE1|KLKB1|ITGA9|BAX|CLEC1B|FGB|HBB|PRKAR1A|PROS1|ZFP36","17100","4418|4352|4423|4411|4456|4465|4431|4463|4402|4407|4386|4322|4304|4310","","GO.0009611","0"
"14652","112","GO Process","","cellular process","6.6E-4","CD4|DCN|TNFRSF1A|CETP|HMOX1|OXT|CYP26A1|EHHADH|CEBPZ|APOA1|CAT|RAMP3|RNF11|CFP|HBA2|DMGDH|LYVE1|SDS|LRPPRC|BTBD1|KLKB1|ITGA9|HPX|FCN3|CERS2|CRHBP|FTCD|FCN2|BAX|LAPTM5|CLEC1B|AVPR1A|ANPEP|UBTF|FGB|FOS|MT1E|RND1|TLN1|CES2|CALR|LPA|ZYX|SOCS3|HBB|UBA1|GANAB|CYP1A2|IFI6|ADAMTSL2|HLA-DRB1|ETS2|MRPL24|GUK1|FMO3|ADAR|MRPL9|ECM1|APH1A|PHGDH|BCAS2|DUSP5|CPN1|PGM1|CYP2C8|CYP4A22|AKR1A1|ASS1|CAP1|STK40|RPRD1B|YTHDF2|RND3|TDP2|SRPX|XDH|IGFBP3|IDI1|SQSTM1|PRKAR1A|DBH|PROS1|SEC31A|MFAP4|GNE|MCFD2|PLAC8|DNAJC7|PLXNB2|DNTTIP2|COLEC11|MBD3|ITIH3|IGFALS|AADAT|ADH1C|CXCL2|LY6E|PUF60|AKT1|LDLR|TXNIP|GDF2|POLRMT|ZFP36|FPR1|HAMP|TRAPPC3|SRRT|LSR|GHR|HAO2","17100","4460|4418|4420|4336|4352|4387|4366|4425|4464|4411|4426|4437|4381|4341|4413|4300|4456|4314|4458|4349|4465|4431|4346|4302|4432|4309|4392|4301|4463|4454|4402|4414|4311|4398|4407|4415|4333|4393|4328|4330|4375|4326|4462|4345|4386|4373|4444|4371|4442|4397|4378|4308|4363|4396|4455|4388|4401|4382|4343|4400|4405|4409|4443|4406|4368|4384|4410|4457|4408|4430|4354|4452|4390|4370|4379|4450|4315|4335|4329|4322|4389|4304|4358|4459|4334|4380|4342|4424|4372|4316|4433|4451|4435|4324|4453|4438|4391|4332|4447|4312|4449|4323|4362|4317|4310|4339|4376|4359|4440|4412|4394|4357","","GO.0009987","0"
"338","11","GO Process","","regulation of inflammatory response","6.6E-4","TNFRSF1A|APOA1|CFP|KLKB1|ZYX|SOCS3|HLA-DRB1|CPN1|PROS1|C1R|LDLR","17100","4420|4411|4341|4465|4462|4345|4378|4443|4304|4439|4449","","GO.0050727","0"
"8","3","UniProt Keywords","","Atherosclerosis","8.0E-4","CETP|APOA1|LPA","17100","4336|4411|4326","","KW-0065","0"
"716","16","GO Function","","oxidoreductase activity","8.3E-4","HMOX1|CYP26A1|EHHADH|CAT|DMGDH|LDHD|CYP1A2|FMO3|PHGDH|CYP2C8|CYP4A22|AKR1A1|XDH|DBH|ADH1C|HAO2","17100","4352|4366|4425|4426|4300|4350|4371|4455|4400|4368|4384|4410|4450|4389|4438|4357","","GO.0016491","0"
"995","19","GO Process","","chemical homeostasis","9.3E-4","CD4|DCN|CETP|HMOX1|OXT|APOA1|RAMP3|HPX|BAX|AVPR1A|CALR|IFI6|PRKAR1A|DBH|AKT1|LDLR|GDF2|FPR1|HAMP","17100","4460|4418|4336|4352|4387|4411|4437|4346|4463|4414|4375|4442|4322|4389|4312|4449|4362|4339|4376","","GO.0048878","0"
"28","4","GO Component","","high-density lipoprotein particle","9.4E-4","CETP|APOA1|HDLBP|APOF","17100","4336|4411|4305|4351","","GO.0034364","0"
"125","7","Reactome Pathways","","Platelet degranulation","9.4E-4","APOA1|FGB|TLN1|ECM1|CAP1|PROS1|ITIH3","17100","4411|4407|4328|4382|4408|4304|4435","","HSA-114608","0"
"2226","30","GO Component","","cytoplasmic vesicle","9.5E-4","CD4|OXT|APOA1|CAT|RNF11|CFP|HBA2|HPX|CRHBP|AVPR1A|ANPEP|FGB|CALR|ZYX|HBB|GANAB|HLA-DRB1|ECM1|CPN1|PGM1|CAP1|SQSTM1|DBH|PROS1|SEC31A|MCFD2|PLAC8|ITIH3|LDLR|FPR1","17100","4460|4387|4411|4426|4381|4341|4413|4346|4309|4414|4311|4407|4375|4462|4386|4444|4378|4382|4443|4406|4408|4329|4389|4304|4358|4380|4342|4435|4449|4339","","GO.0031410","0"
"323","10","GO Component","","secretory granule lumen","9.5E-4","APOA1|CAT|CFP|FGB|ECM1|CAP1|DBH|PROS1|PLAC8|ITIH3","17100","4411|4426|4341|4407|4382|4408|4389|4304|4342|4435","","GO.0034774","0"
"9","3","UniProt Keywords","","LDL","9.8E-4","APOF|LDLR|LSR","17100","4351|4449|4412","","KW-0427","0"
